Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
0350707D;Collège François-René de Chateaubriand;Collège;Public;12 avenue des Acacias;BP 56;;35270;35085;Combourg;035;14;53;;;0;0;0;02 99 73 05 54;02 99 73 20 65;http://www.frdechateaubriand.net;Ce.0350707d@ac-rennes.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;1;19350707600019;623;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3262;48.41525130917533, -1.7416202300524102;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;349354.0;6823304.9;EPSG:2154;;48.41525130917533;-1.7416202300524102;Numéro de rue;1966-11-08;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0350707D;;;;
0352008T;Collège les Rochers Sévigné;Collège;Public;1 et 3 Allée Pierre de Gennes;BP 30614;;35506;35360;Vitré;035;14;53;;;0;0;0;02 99 74 42 09;02 99 74 01 93;https://college-les-rochers-sevigne-vitre.ac-rennes.fr/;Ce.0352008t@ac-rennes.fr;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;19352008700019;415;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16493;48.11223035171698, -1.197029727652748;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;387797.2;6787394.5;EPSG:2154;;48.11223035171698;-1.197029727652748;Numéro de rue;1978-09-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0351909K;;;;
0350801F;Lycée Jean-Paul II;Lycée;Privé;2 rue Antoine de St Exupéry;BP 96214;;35762;35278;Saint-Grégoire;035;14;53;;;1;0;0;02 99 23 41 00;02 99 23 19 73;http://www.immaculeejeanpaul2.org;ce.0350801F@ac-rennes.fr;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;;0;80919961500026;740;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16954;48.15986449029303, -1.6749995885276903;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;352595.3;6794676.2;EPSG:2154;;48.15986449029303;-1.6749995885276903;Numéro de rue;1968-03-12;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;302;LYCEE D ENSEIGNEMENT GENERAL;30;0352260S;;;;
0351969A;Collège Beaumont;Collège;Public;10 rue du lycée;BP 90503;;35605;35236;Redon;035;14;53;;;0;0;0;02 99 72 37 37;02 99 72 16 80;https://www.beaumont-redon.fr;Ce.0350022j@ac-rennes.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;0;19351969100011;523;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16130;47.655038727216535, -2.0914100162756046;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;318078.1;6740612.0;EPSG:2154;;47.655038727216535;-2.0914100162756046;Numéro de rue;1977-03-24;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0351969A;;;;
0350030T;Lycée et section d'enseignement professionnel Pierre Mendès France;Lycée;Public;34 rue Bahon Rault;CS 86906;;35069;35238;Rennes;035;14;53;;;1;1;1;02 99 27 82 82;02 99 63 65 05;http://www.lyceepmf.fr;ce.0350030t@ac-rennes.fr;1;1;1;1;0;0;0;0;1;0;1;0;0;1;1;;1;19350030300014;962;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19130;48.13456382981909, -1.6824696947334972;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;351874.2;6791902.3;EPSG:2154;;48.13456382981909;-1.6824696947334972;Numéro de rue;1965-05-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;0350027P;;;;
0350793X;Lycée et section d'enseignement professionnel Frédéric Ozanam;Lycée;Privé;99 rue de la Chalotais;CS 97704;;35577;35051;Cesson-Sévigné;035;14;53;;;1;1;1;02 99 83 97 40;02 99 83 93 13;http://www.lycee-ozanam35.fr;ce.0350793X@ac-rennes.fr;1;1;1;1;0;1;0;0;1;0;1;0;0;1;1;;0;77774599300025;1241;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5317;48.12999050182102, -1.598099543380704;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;358110.1;6791026.3;EPSG:2154;;48.12999050182102;-1.598099543380704;Numéro de rue;1968-03-12;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;30;0351906G;;;;
0352972R;Collège La Hublais;Collège;Privé;avenue de la Hublais;;;35510;35051;Cesson-Sévigné;035;14;53;;;0;0;0;02 21 00 01 50;;https://college-lahublais.apprentis-auteuil.org/;college.lahublais@apprentis-auteuil.org;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;77568879902207;53;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21623;48.1178507231933, -1.6165857137560533;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;356658.3;6789759.7;EPSG:2154;;48.1178507231933;-1.6165857137560533;Rue;2020-09-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;30;0351906G;;;;
0350050P;Lycée professionnel Bel Air;Lycée;Public;7 rue Ernest Renan;BP 8;;35190;35337;Tinténiac;035;14;53;;;0;0;1;02 99 68 02 34;02 99 68 18 02;http://www.lycee-bel-air-tinteniac.ac-rennes.fr;ce.0350050p@ac-rennes.fr;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;;1;19350050100013;327;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15674;48.33202525818393, -1.8257206761231421;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;342577.4;6814448.3;EPSG:2154;;48.33202525818393;-1.8257206761231421;Numéro de rue;1965-05-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;0350051R;;;;
0350805K;Ecole technique privée Le Cozic Silvya Terrade Rennes;Lycée;Privé;52  BOULEVARD VILLEBOIS MAREUIL;;35000 RENNES;35000;35238;Rennes;035;14;53;;;;;;0299417425;;;rennes@groupe-terrade.com;0;0;0;;1;;;;;;;;;0;;;0;50367276800150;;;48.10537811890469, -1.652000209421196;HORS CONTRAT;Ille-et-Vilaine;Rennes;Bretagne;353945.9;6788530.6;EPSG:2154;;48.10537811890469;-1.652000209421196;Numéro de rue;1968-03-12;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;10;;;;;
0351974F;Maison Familiale Rurale de Messac;Autre;Privé;Rue des pres vonaud BOEUVRES;;35480 GUIPRY MESSAC;35480;35176;Guipry-Messac;035;14;53;;;;;;0299346129;;;mfr.messac@mfr.asso.fr;1;1;0;;1;;;;;;;;;0;;;0;77770469300012;;;47.82232196453283, -1.8005529946844623;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;340997.7;6757797.0;EPSG:2154;;47.82232196453283;-1.8005529946844623;Rue;1962-09-01;2023-06-08;OUVERT;AGRICULTURE;0;0;;380;MAISON FAMILIALE RURALE EDUCATION ORIENT;99;;;;;
0351978K;Maison Familiale Rurale de Saint-Aubin d'Aubigne;Autre;Privé;4 allée du clos sireuil;;35250 ST AUBIN D AUBIGNE;35250;35251;Saint-Aubin-d'Aubigné;035;14;53;;;;;;0299552081;;;mfr.st-aubin-aubigne@mfr.asso.fr;1;1;0;;1;;;;;;;;;0;;;0;77775477100015;;;48.264132489762694, -1.6069077677606194;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;358325.2;6805947.2;EPSG:2154;;48.264132489762694;-1.6069077677606194;Numéro de rue;1955-09-01;2023-06-08;OUVERT;AGRICULTURE;0;0;;380;MAISON FAMILIALE RURALE EDUCATION ORIENT;99;;;;;
0352236R;Ecole secondaire privée Sainte Marie;Lycée;Privé;LE BOIS MARTIN;;35430 ST PERE MARC EN POULET;35430;35306;Saint-Père-Marc-en-Poulet;035;14;53;;;;;;0299588907;;;secretariat.esm@aliceadsl.fr;1;1;0;;1;;;;;;;;;0;;;0;34332769800019;;;48.58599081526287, -1.93051446858858;HORS CONTRAT;Ille-et-Vilaine;Rennes;Bretagne;336587.3;6843103.1;EPSG:2154;;48.58599081526287;-1.93051446858858;Rue;1987-09-08;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;302;LYCEE D ENSEIGNEMENT GENERAL;10;;;;;
0352283S;Section d'enseignement professionnel du Lyce des metiers de l'hotellerie et de la restauration, Yvon Bourges;Lycée;Public;33 rue des Ecoles;BP 80304;35803 DINARD CEDEX;35803;35093;Dinard;035;14;53;;;;;;0299168080;;;ce.0352283S@ac-rennes.fr;1;1;0;;1;;;;;;;;;0;;;0;;;;48.6255373902793, -2.0580796765969365;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;327479.0;6848085.2;EPSG:2154;;48.6255373902793;-2.0580796765969365;Numéro de rue;1980-01-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;99;;0350005R;FILIERE OU DEPARTEMENT OU SECTION;;
0352455D;Section professionnelle du Lycée polyvalent privé Frédéric Ozanam;Lycée;Privé;99 rue DE LA CHALOTAIS;BP 41239;35512 CESSON SEVIGNE CEDEX;35512;35051;Cesson-Sévigné;035;14;53;;;;;;0299839740;;;ce.0352455D@ac-rennes.fr;1;1;0;;1;;;;;;;;;0;;;0;;;;48.12960437983403, -1.5972998068917312;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;358167.0;6790980.0;EPSG:2154;;48.12960437983403;-1.5972998068917312;Numéro de rue;1996-02-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;30;;0350793X;FILIERE OU DEPARTEMENT OU SECTION;;
0352459H;Section professionnelle du lycee des metiers du tourisme, Jeanne d'Arc;Lycée;Privé;61  RUE LA FONTAINE;;35708 RENNES CEDEX 7;35708;35238;Rennes;035;14;53;;;;;;0299843030;;;ce.0352459H@ac-rennes.fr;1;1;0;;1;;;;;;;;;0;;;0;;;;48.118651635047655, -1.654480617090958;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;353848.5;6790014.0;EPSG:2154;;48.118651635047655;-1.654480617090958;Numéro de rue;1996-02-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;30;;0350797B;FILIERE OU DEPARTEMENT OU SECTION;;
0352461K;Section professionnelle du Lycée polyvalent privé Institution Saint Malo-La Providence;Lycée;Privé;34 rue de la Croix Desilles;BP 60921;35401 ST MALO CEDEX;35401;35288;Saint-Malo;035;14;53;;;;;;0299407474;;;ce.0352461K@ac-rennes.fr;1;1;0;;1;;;;;;;;;0;;;0;;;;48.654689371466034, -1.9691561126702057;CONTRAT D'ASSOCIATION TOUTES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;334223.2;6850903.9;EPSG:2154;;48.654689371466034;-1.9691561126702057;Numéro de rue;1996-02-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;30;;0352072M;FILIERE OU DEPARTEMENT OU SECTION;;
0352894F;Collège privé HC Ste-Philomène;Collège;Privé;Chemin DE LA FOUINARDIERE;;35760 ST GREGOIRE;35760;35278;Saint-Grégoire;035;14;53;;;;;;0616382949;;;contact@ecolesaintephilomene.com;1;0;0;;1;;;;;;;;;0;;;0;44984937100025;;;48.16328843938766, -1.7037903805799988;HORS CONTRAT;Ille-et-Vilaine;Rennes;Bretagne;350481.0;6795183.1;EPSG:2154;;48.16328843938766;-1.7037903805799988;Numéro de rue;2016-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;10;;;;;
0353069W;Collège privé hors-contrat Notre-Dame Auxiliatrice;Collège;Privé;Lieu-dit La Vallée;;35830 BETTON;35830;35024;Betton;035;14;53;;;;;;;;;;0;0;0;;1;;;;;;;;;0;;;0;;;;48.16706184180708, -1.651693326045307;HORS CONTRAT;Ille-et-Vilaine;Rennes;Bretagne;354372.3;6795372.4;EPSG:2154;Circonscription d'inspection du 1er degré de Liffre;48.16706184180708;-1.651693326045307;Ville;2022-08-23;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;10;;;;;
0351041S;ITEP Tomkiewicz;Médico-social;Privé;8 route DU GACET PLATEAU DE BEL AIR;;35830 BETTON;35830;35024;Betton;035;14;53;;;;;;0299646966;;;institut.tomkiewicz@ar-roch.fr;;;;;;;;;;;;;;;;;;77766535700052;;;48.16385597995707, -1.6497197838167499;C0NTRAT SIMPLE POUR PARTIE DES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;354497.8;6795008.1;EPSG:2154;;48.16385597995707;-1.6497197838167499;Numéro de rue;1968-08-06;2023-06-08;OUVERT;SANTE ET SOLIDARITE NATIONALE;0;;;241;INSTITUT DE REEDUCATION;21;;;;;
0351043U;Ime le Baudrier;Médico-social;Privé;Domaine DE L'ABBAYE;;35250 ST SULPICE LA FORET;35250;35315;Saint-Sulpice-la-Forêt;035;14;53;;;;;;0299451515;;;;;;;;;;;;;;;;;;;;;77559092000176;;;48.21981962391548, -1.5744796719582492;C0NTRAT SIMPLE POUR PARTIE DES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;360442.4;6800890.7;EPSG:2154;;48.21981962391548;-1.5744796719582492;Numéro de rue;1968-08-06;2023-06-08;OUVERT;SANTE ET SOLIDARITE NATIONALE;0;;;240;INSTITUT MEDICO-EDUCATIF;21;;;;;
0351718C;IME les Ajoncs d'Or;Médico-social;Privé;12 lieu-dit SAINT-LAZARE;BP 76236;35162 MONTFORT SUR MEU CEDEX;35162;35188;Montfort-sur-Meu;035;14;53;;;;;;0299090190;;;accueil.ajoncsdor@alfainfo.net;;;;;;;;;;;;;;;;;;77770838900013;;;48.12271742221432, -1.9491194046533735;C0NTRAT SIMPLE POUR PARTIE DES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;331992.5;6791797.4;EPSG:2154;;48.12271742221432;-1.9491194046533735;Numéro de rue;1972-05-03;2023-06-08;OUVERT;SANTE ET SOLIDARITE NATIONALE;0;;;240;INSTITUT MEDICO-EDUCATIF;21;;;;;
0351719D;Ime la Rive;Médico-social;Privé;2 rue DE LA RIVE;BP 60313;35603 REDON CEDEX;35603;35236;Redon;035;14;53;;;;;;0299710642;;;ime.larive@adapei35.asso.fr;;;;;;;;;;;;;;;;;;77559092000317;;;47.6504999728074, -2.094449565916222;C0NTRAT SIMPLE POUR PARTIE DES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;317817.9;6740123.5;EPSG:2154;;47.6504999728074;-2.094449565916222;Numéro de rue;1972-05-03;2023-06-08;OUVERT;SANTE ET SOLIDARITE NATIONALE;0;;;240;INSTITUT MEDICO-EDUCATIF;21;;;;;
0351720E;Ime Sifpro le Triskell;Médico-social;Privé;1 rue DES FRERES MONTGOLFIER CAMPUS DE KER-LANN;BP 27416;35170 BRUZ;35170;35047;Bruz;035;14;53;;;;;;0299529952;;;;;;;;;;;;;;;;;;;;;77559092000523;;;48.04374462274425, -1.7432499494828475;C0NTRAT SIMPLE POUR PARTIE DES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;346754.9;6782097.6;EPSG:2154;;48.04374462274425;-1.7432499494828475;Rue;1969-12-01;2023-06-08;OUVERT;SANTE ET SOLIDARITE NATIONALE;0;;;240;INSTITUT MEDICO-EDUCATIF;21;;;;;
0352628S;Etablissement pour poly handicapés la Passagère Emeraude;Médico-social;Privé;ROUTE DE LA PASSAGERE;BP 112;35417 ST MALO CEDEX;35417;35288;Saint-Malo;035;14;53;;;;;;0299211130;;;;;;;;;;;;;;;;;;;;;77559092000036;;;48.60028178335683, -2.0076694926814933;C0NTRAT SIMPLE POUR PARTIE DES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;331008.7;6845046.5;EPSG:2154;;48.60028178335683;-2.0076694926814933;Rue;1996-01-15;2023-06-08;OUVERT;SANTE ET SOLIDARITE NATIONALE;0;;;245;ETABLISSEMENT POUR POLY-HANDICAPES;21;;;;;
0352774A;ESPACE KIETHON;Médico-social;Privé;Impasse DES MEGALITHES;;35360 MEDREAC;35360;35171;Médréac;035;14;53;;;;;;0299073491;;;;;;;;;;;;;;;;;;;;;;;;48.266507613880215, -2.07227953463666;C0NTRAT SIMPLE POUR PARTIE DES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;323872.8;6808325.9;EPSG:2154;;48.266507613880215;-2.07227953463666;Rue;2008-09-25;2023-06-08;OUVERT;SANTE ET SOLIDARITE NATIONALE;0;;;240;INSTITUT MEDICO-EDUCATIF;21;;;;;
0352897J;IME DE PARON;Médico-social;Privé;20 boulevard NELSON MANDELA ZA PARON;;35300 FOUGERES;35300;35115;Fougères;035;14;53;;;;;;0299186000;;;imeeeap.paron@anneboivent.fr;;;;;;;;;;;;;;;;;;43447329400172;;;48.35861301594067, -1.1822600267127605;C0NTRAT SIMPLE POUR PARTIE DES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;390344.5;6814680.7;EPSG:2154;;48.35861301594067;-1.1822600267127605;Rue;2016-09-01;2023-06-08;OUVERT;SANTE ET SOLIDARITE NATIONALE;0;;;240;INSTITUT MEDICO-EDUCATIF;21;;;;;
0352934Z;IME L ETOILE VILLEJEAN;Médico-social;Privé;2 rue Abbé Huet;;35000 RENNES;35000;35238;Rennes;035;14;53;;;;;;;;;;;;;;;;;;;;;;;;;;;77559092000671;;;48.122787721541414, -1.7016596107351543;C0NTRAT SIMPLE POUR PARTIE DES CLASSES;Ille-et-Vilaine;Rennes;Bretagne;350371.3;6790680.7;EPSG:2154;;48.122787721541414;-1.7016596107351543;Numéro de rue;2019-09-01;2023-06-08;OUVERT;SANTE ET SOLIDARITE NATIONALE;0;;;240;INSTITUT MEDICO-EDUCATIF;21;;;;;
0350065F;Centre d'information et d'orientation de Saint-Malo;Information et orientation;Public;26 Quai du Val;Résidence Les Marines de Chasles;;35400;35288;Saint-Malo;035;14;53;;;;;;02 99 56 04 43;02 99 56 01 41;http://www.ac-rennes.fr/ac-rennes/cid104618/cio-de-saint-malo.html;cio.saint-malo@ac-rennes.fr;;;;;;;;;;;;;;;;;;17350431700814;;https://www.onisep.fr/http/redirection/organisme_information/slug/ENS.311;48.63968330011912, -2.0109553041905044;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;331044.7;6849433.4;EPSG:2154;;48.63968330011912;-2.0109553041905044;Parfaite;1966-01-06;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;;;841;CENTRE D INFORMATION ET D ORIENTATION;99;;;;;
0351904E;Centre d'information et d'orientation de Vitré;Information et orientation;Public;9 place du Champ de foire;Maison de l'Emploi;;35500;35360;Vitré;035;14;53;;;;;;02 99 75 02 85;02 23 55 79 73;http://www.ac-rennes.fr/ac-rennes/cid104624/cio-de-vitre.html;cio.vitre@ac-rennes.fr;;;;;;;;;;;;;;;;;;17350431700434;;https://www.onisep.fr/http/redirection/organisme_information/slug/INFO.1081;48.120279685659895, -1.206640437450264;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;387130.6;6788325.8;EPSG:2154;;48.120279685659895;-1.206640437450264;Parfaite;1975-10-10;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;;;841;CENTRE D INFORMATION ET D ORIENTATION;99;;;;;
0350741R;Circonscription d'inspection du 1er degré de Fougères;Service Administratif;;47 avenue GEORGES-POMPIDOU;;35300 FOUGERES;35300;35115;Fougères;035;14;53;;;;;;0299949710;;;ce.ien35.fougeres@ac-rennes.fr;;;;;;;;;;;;;;;;;;17350431700616;;;48.34860393888618, -1.2021601769112527;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;388813.3;6813648.0;EPSG:2154;;48.34860393888618;-1.2021601769112527;Numéro de rue;1967-10-23;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;;;809;CIRCONSCRIPTIONS INSPECTION EDUC NAT;99;;;;;
0352761L;Circonscription d'inspection du 1er degré de Bain-de-Bretagne;Service Administratif;;2 allée DE L'ILLE Parc Act.Chât.Gaillard II;;35470 BAIN DE BRETAGNE;35470;35012;Bain-de-Bretagne;035;14;53;;;;;;0299446944;;;ce.ien35.bain@ac-rennes.fr;;;;;;;;;;;;;;;;;;17350431700723;;;47.85222762334115, -1.6857304028207702;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;349771.4;6760598.2;EPSG:2154;;47.85222762334115;-1.6857304028207702;Numéro de rue;2008-09-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;;;809;CIRCONSCRIPTIONS INSPECTION EDUC NAT;99;;;;;
0352852K;EATICE 35;Service Administratif;;1 quai DUJARDIN;BP 73145;35031 RENNES CEDEX;35031;35238;Rennes;035;14;53;;;;;;0299251120;;;;;;;;;;;;;;;;;;;;;;;;48.11019764691954, -1.6726602766138592;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;352442.5;6789156.0;EPSG:2154;;48.11019764691954;-1.6726602766138592;Rue;2012-09-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;;;806;SERVICE DE LA DSDEN;99;;0359999D;ANNEXE GEOGRAPHIQUE;;
0352974T;Circonscription d'inspection du 1er degré de Rennes Centre Sud;Service Administratif;;1 quai DUJARDIN;;35031 RENNES CEDEX;35031;35238;Rennes;035;14;53;;;;;;0299251167;;;ce.ien35.rennescentresud@ac-rennes.fr;;;;;;;;;;;;;;;;;;;;;48.1101984919729, -1.6726616973701423;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;352442.4;6789156.1;EPSG:2154;;48.1101984919729;-1.6726616973701423;Rue;2020-09-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;;;809;CIRCONSCRIPTIONS INSPECTION EDUC NAT;99;;;;;
0352813T;AFOREM;;Privé;17 rue DU BIGNON ZI SUD-EST;;35000 RENNES;35000;35238;Rennes;035;14;53;;;;;;;;;;;;;;;;;;;;;;;;;;;41145460600061;;;48.09727695458793, -1.6293395448196224;;Ille-et-Vilaine;Rennes;Bretagne;355576.9;6787532.8;EPSG:2154;;48.09727695458793;-1.6293395448196224;Parfaite;2009-09-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;;;400;ECOLES COMPOSEES UNIQT DE STS ET OU CPGE;10;;;;;
0350129A;Ecole primaire publique René-Guy Cadou;Ecole;Public;5 allée des Roses;;35133 BEAUCE;35133;35021;Beaucé;035;14;53;1;1;;;;0299993744;;;ecole.0350129A@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350021800028;157;;48.33919560676331, -1.1575102361775456;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;392061.7;6812428.7;EPSG:2154;Circonscription d'inspection du 1er degré de Fougères;48.33919560676331;-1.1575102361775456;Rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350967L;;;;
0350150Y;Ecole primaire publique de La Boussac;Ecole;Public;26 rue de Fougères;;35120 LA BOUSSAC;35120;35034;La Boussac;035;14;53;1;1;;;;0299800266;;;ecole.0350150Y@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350034100028;120;;48.511709991821775, -1.6574299409309294;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;356204.7;6833637.9;EPSG:2154;Circonscription d'inspection du 1er degré du Pays Malouin;48.511709991821775;-1.6574299409309294;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350021H;;;;
0350153B;Ecole primaire publique Aux Quatre Vents;Ecole;Public;4 rue des Quatre Vents;;35530 BRECE;35530;35039;Brécé;035;14;53;1;1;;;;0299001157;;;ecole.0350153B@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350039000025;215;;48.11089570120712, -1.4846399733830646;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;366416.7;6788422.5;EPSG:2154;Circonscription d'inspection du 1er degré de Châteaugiron;48.11089570120712;-1.4846399733830646;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0352167R;;;;
0350171W;Ecole primaire publique les Petits Capellos;Ecole;Public;1 rue DES DEUX-CROIX;;35190 LA CHAPELLE AUX FILTZMEENS;35190;35056;La Chapelle-aux-Filtzméens;035;14;53;1;1;;;;0299452195;;;ecole.0350171W@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350056400025;107;;48.38491001676505, -1.8253798377321557;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;342961.6;6820313.9;EPSG:2154;Circonscription d'inspection du 1er degré de Combourg;48.38491001676505;-1.8253798377321557;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350051R;;;;
0350172X;Ecole primaire publique La Roche Pourprée;Ecole;Public;11 rue du Rocher;;35330 LA CHAPELLE BOUEXIC;35330;35057;La Chapelle-Bouëxic;035;14;53;1;1;;;;0299920361;;;ecole.0350172X@ac-rennes.fr;1;0;0;;;;;;;;;;;;;;;21350057200028;177;;47.93008280827578, -1.9415896584749948;SANS OBJET;Ille-et-Vilaine;Rennes;Bretagne;331212.9;6770397.9;EPSG:2154;Circonscription d'inspection du 1er degré de Redon;47.93008280827578;-1.9415896584749948;Numéro de rue;1965-10-01;2023-06-08;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0350017D;;;;
